memory profiling: sample.interval=20000
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:268795257:204768536:0:".Call" "bind_rows_" "bind_rows" 
:2163046:269146894:204923488:0:".Call" "bind_rows_" "bind_rows" 
:2163046:269672643:205154768:0:".Call" "bind_rows_" "bind_rows" 
:2163046:270242658:205405368:0:".Call" "bind_rows_" "bind_rows" 
:2163046:270747055:205627408:0:".Call" "bind_rows_" "bind_rows" 
:2163046:271209154:205830688:0:".Call" "bind_rows_" "bind_rows" 
:2163046:271838016:206107328:0:".Call" "bind_rows_" "bind_rows" 
:2163046:272456694:206379488:0:".Call" "bind_rows_" "bind_rows" 
:2163046:272895879:206572688:0:".Call" "bind_rows_" "bind_rows" 
:2163046:273520922:206847648:0:".Call" "bind_rows_" "bind_rows" 
:2163046:274035214:207073888:0:".Call" "bind_rows_" "bind_rows" 
:2163046:274560963:207305168:0:".Call" "bind_rows_" "bind_rows" 
:2163046:275119810:207551008:0:".Call" "bind_rows_" "bind_rows" 
:2163046:275594639:207759888:0:".Call" "bind_rows_" "bind_rows" 
:2163046:276040189:207955888:0:".Call" "bind_rows_" "bind_rows" 
:2163046:276507380:208161408:0:".Call" "bind_rows_" "bind_rows" 
:2163046:277052224:208401088:0:".Call" "bind_rows_" "bind_rows" 
:2163046:277439216:208571328:0:".Call" "bind_rows_" "bind_rows" 
:2163046:277623309:208652472:0:".Call" "bind_rows_" "bind_rows" 
:2163099:277884401:208795888:3:".Call" "bind_rows_" "bind_rows" 
:2163099:278320151:209031088:0:".Call" "bind_rows_" "bind_rows" 
:2163099:278723824:209226864:0:".Call" "bind_rows_" "bind_rows" 
:2163099:279024135:209368544:0:".Call" "bind_rows_" "bind_rows" 
:2163099:279479833:209588568:0:".Call" "bind_rows_" "bind_rows" 
:2163099:279876274:209785968:0:".Call" "bind_rows_" "bind_rows" 
:2163099:280264688:209973064:0:".Call" "bind_rows_" "bind_rows" 
:2163099:280711437:210186200:0:".Call" "bind_rows_" "bind_rows" 
:2163099:281058774:210358064:0:".Call" "bind_rows_" "bind_rows" 
:2163099:281492638:210563640:0:".Call" "bind_rows_" "bind_rows" 
:2163099:281870369:210745696:0:".Call" "bind_rows_" "bind_rows" 
:2163099:282219361:210922488:0:".Call" "bind_rows_" "bind_rows" 
:2163099:282655193:211128400:0:".Call" "bind_rows_" "bind_rows" 
:2163099:283039031:211311856:0:".Call" "bind_rows_" "bind_rows" 
:2163099:283468725:211514576:0:".Call" "bind_rows_" "bind_rows" 
:2163099:283729865:211637776:0:".Call" "bind_rows_" "bind_rows" 
:2163099:284020742:211778560:0:".Call" "bind_rows_" "bind_rows" 
:2163099:284404642:211965544:0:".Call" "bind_rows_" "bind_rows" 
:2163099:284829791:212166472:0:".Call" "bind_rows_" "bind_rows" 
:2163099:285134850:212310392:0:".Call" "bind_rows_" "bind_rows" 
:2163099:285260672:212369752:0:".Call" "bind_rows_" "bind_rows" 
:2163099:285505194:212485112:0:".Call" "bind_rows_" "bind_rows" 
